Country,iso3c,Year,Flag_HiY,Flag_LoworLowerMiddle,AdultSurvival_All,AdultSurvival_All_Source,AdultSurvival_Female,AdultSurvival_Female_Source,AdultSurvival_Male,AdultSurvival_Male_Source,AffordHouse,AffordHouse_Source,BasicSanitation,BasicSanitation_Source,Contraception,Contraception_Source,FoodSecure_All,FoodSecure_All_Source,FoodSecure_Female,FoodSecure_Female_Source,FoodSecure_Male,FoodSecure_Male_Source,GDP,GDP_Source,H_EducQual_All,H_EducQual_All_Source,H_EducQual_Female,H_EducQual_Female_Source,H_EducQual_Male,H_EducQual_Male_Source,NotAbsPoor,NotAbsPoor_Source,NotLowBirWt,NotLowBirWt_Source,NotLTUnemploy_All,NotLTUnemploy_All_Source,NotLTUnemploy_Female,NotLTUnemploy_Female_Source,NotLTUnemploy_Male,NotLTUnemploy_Male_Source,NotRelPoor,NotRelPoor_Source,NotStunted_All,NotStunted_All_Source,NotStunted_Female,NotStunted_Female_Source,NotStunted_Male,NotStunted_Male_Source,PISAaverage_All,PISAaverage_All_Source,PISAaverage_Female,PISAaverage_Female_Source,PISAaverage_Male,PISAaverage_Male_Source,PISAmath_All,PISAmath_All_Source,PISAmath_Female,PISAmath_Female_Source,PISAmath_Male,PISAmath_Male_Source,PISAreading_All,PISAreading_All_Source,PISAreading_Female,PISAreading_Female_Source,PISAreading_Male,PISAreading_Male_Source,PISAscience_All,PISAscience_All_Source,PISAscience_Female,PISAscience_Female_Source,PISAscience_Male,PISAscience_Male_Source,SafeSanitation,SafeSanitation_Source,SeniorSurvival_All,SeniorSurvival_All_Source,SeniorSurvival_Female,SeniorSurvival_Female_Source,SeniorSurvival_Male,SeniorSurvival_Male_Source,TotNetPrimEn_All,TotNetPrimEn_All_Source,TotNetPrimEn_Female,TotNetPrimEn_Female_Source,TotNetPrimEn_Male,TotNetPrimEn_Male_Source,TotNetUpSecEn_All,TotNetUpSecEn_All_Source,TotNetUpSecEn_Female,TotNetUpSecEn_Female_Source,TotNetUpSecEn_Male,TotNetUpSecEn_Male_Source,U5Survival_All,U5Survival_All_Source,U5Survival_Female,U5Survival_Female_Source,U5Survival_Male,U5Survival_Male_Source,WaterInHome,WaterInHome_Source
American Samoa,ASM,1990,0,0,81.82854551,standard,87.90314884,standard,76.86025414,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.476103,standard,47.47159587,standard,29.47438165,standard,,,,,,,,,,,,,97.833546,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,98.404261,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,97.833546,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,,
American Samoa,ASM,1991,0,0,82.7620723,standard,87.85673539,standard,78.53330645,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.05458681,standard,47.23378038,standard,32.18079193,standard,,,,,,,,,,,,,98.034365,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,98.420791,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,98.034365,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,,
American Samoa,ASM,1992,0,0,82.88132113,standard,87.94058091,standard,78.66405457,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.03584054,standard,47.37642096,standard,32.01152694,standard,,,,,,,,,,,,,98.110429,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,98.464718,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,98.110429,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,,
American Samoa,ASM,1993,0,0,83.06200618,standard,87.98714566,standard,78.93337631,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.10832253,standard,47.37262006,standard,32.10460128,standard,,,,,,,,,,,,,98.167403,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,98.532317,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,98.167403,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,,
American Samoa,ASM,1994,0,0,83.17903648,standard,87.97295602,standard,79.11874272,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0384601,standard,47.15328456,standard,32.05626849,standard,,,,,,,,,,,,,98.19362,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,98.60743,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,98.19362,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,,
American Samoa,ASM,1995,0,0,83.54966381,standard,88.1161035,standard,79.62826966,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.61691808,standard,47.41320742,standard,32.66746949,standard,,,,,,,,,,,,,98.222491,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,98.688921,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,98.222491,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,,
American Samoa,ASM,1996,0,0,83.58712005,standard,88.16236366,standard,79.63370899,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.50360319,standard,47.36224626,standard,32.28590223,standard,,,,,,,,,,,,,98.202868,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,98.742031,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,98.202868,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,,
American Samoa,ASM,1997,0,0,83.88677991,standard,88.21114142,standard,80.11498919,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.93095249,standard,47.3219472,standard,32.89179021,standard,,,,,,,,,,,,,98.209373,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,98.790495,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,98.209373,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,,
American Samoa,ASM,1998,0,0,83.96079721,standard,88.23556811,standard,80.21535495,standard,,,,,32,WHO_Department of Health.American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.87115653,standard,47.21766778,standard,32.73515113,standard,,,,,,,,,,,,,98.179633,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,98.846178,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,98.179633,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,,
American Samoa,ASM,1999,0,0,83.7406341,standard,87.75796191,standard,80.1930013,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.93983618,standard,45.53795046,standard,32.34103929,standard,,,,,,,,,,,,,98.137561,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,98.722829,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,98.137561,United Nations Population Division Retrieved 1_20_24 from https://population.un.org/wpp/download/standard/mortality/,,
