country,year,countryyear,iso3c,iso3n,cowcode,hrmicode,disap_mean,disap_sd,disap_lo,disap_hi,exkill_mean,exkill_sd,exkill_lo,exkill_hi,arrest_mean,arrest_sd,arrest_lo,arrest_hi,tort_mean,tort_sd,tort_lo,tort_hi,dpex_mean,dpex_sd,dpex_lo,dpex_hi,express_mean,express_sd,express_lo,express_hi,polpart_mean,polpart_sd,polpart_lo,polpart_hi,assem_mean,assem_sd,assem_lo,assem_hi,rel_mean,rel_sd,rel_lo,rel_hi,physint_mean,physint_sd,physint_lo,physint_hi,empower_mean,empower_sd,empower_lo,empower_hi
Angola,2017,AGO2017,AGO,24,540,1,6.4641614,.89810622,5.3145852,7.6137376,5.0889416,.7123915,4.1770806,6.0008025,3.7899294,.49456775,3.1568828,4.422976,3.4392095,.51408279,2.7811835,4.0972352,10,0,10,10,3.4531848,1.3755578,1.6924709,5.2138987,3.0862069,.78368896,2.0830851,4.0893288,2.7237363,.87913299,1.598446,3.8490264,,,,,4.4018683,.79570484,3.3833661,5.4203706,2.7355831,.7373814,1.7917349,3.6794312
Angola,2018,AGO2018,AGO,24,540,1,7.1740689,.4911924,6.5453424,7.8027954,5.2830458,.31339714,4.8818974,5.6841941,4.8502078,.36783502,4.3793788,5.3210368,4.4587679,.37151873,3.9832239,4.9343119,10,0,10,10,4.7582421,.44025645,4.1947141,5.3217702,4.8589058,.508757,4.2076969,5.5101147,4.8665619,.4062832,4.3465195,5.3866043,,,,,5.1228848,.8127929,4.08251,6.1632595,4.5804725,.70110404,3.6830592,5.4778857
Angola,2019,AGO2019,AGO,24,540,1,6.3579597,.62610495,5.5565453,7.1593742,5.0296884,.35060617,4.5809126,5.4784641,4.9702744,.51206434,4.3148322,5.6257167,4.9023504,.43827674,4.3413563,5.4633446,10,0,10,10,4.1257744,.32163653,3.7140796,4.5374689,4.3426576,.46488318,3.747607,4.9377079,4.7929449,.49533617,4.1589146,5.4269753,,,,,4.4865541,.7900359,3.4753082,5.4977999,4.2263622,.67112136,3.367327,5.0853977
Angola,2020,AGO2020,AGO,24,540,1,5.4535308,.79278618,4.4387646,6.468297,3.8449578,.50491977,3.1986606,4.4912553,4.24543,.74019867,3.2979758,5.1928844,4.7541127,.77037019,3.768039,5.7401867,10,0,10,10,3.3764799,.49451986,2.7434945,4.0094652,3.2421777,.45614561,2.6583114,3.8260441,2.9024665,.39196557,2.4007506,3.4041824,,,,,3.4381959,.92427093,2.2551291,4.6212626,2.7098813,.69114065,1.8252213,3.5945413
Angola,2021,AGO2021,AGO,24,540,1,4.9639015,.58829677,4.2108817,5.7169213,4.1658978,.46966472,3.5647271,4.7670689,3.8856063,.61613005,3.0969598,4.674253,3.6006596,.52855122,2.924114,4.277205,10,0,10,10,3.3929496,.51671779,2.7315507,4.0543485,4.0492949,.85748935,2.9517086,5.1468811,3.3264351,.50639576,2.6782484,3.9746218,,,,,3.1217816,.84936386,2.0345957,4.2089672,2.9963226,.73629516,2.0538647,3.9387805
Angola,2022,AGO2022,AGO,24,540,1,5.1297445,.94197273,3.9240193,6.3354697,5.2241364,.80556691,4.1930108,6.2552619,4.3178172,.42139795,3.7784278,4.8572068,3.6889608,.68716675,2.8093874,4.5685344,10,0,10,10,3.2963624,.45753235,2.710721,3.8820038,3.6108274,.68690562,2.7315884,4.4900665,3.1677935,.39050537,2.6679466,3.6676404,6.1736484,1.4727222,4.2885642,8.058733,3.5486863,.93831003,2.3476493,4.749723,2.9122653,.71171767,2.0012667,3.8232639
Angola,2023,AGO2023,AGO,24,540,1,6.7271938,1.1224476,5.2904611,8.1639271,7.7604566,.77806079,6.7645388,8.7563744,5.0632658,.77488106,4.0714178,6.0551138,4.0301518,1.1228375,2.5929198,5.4673839,10,0,10,10,4.1996646,.89518011,3.053834,5.3454952,4.6047111,1.4324363,2.7711926,6.4382296,3.3339603,.79959661,2.3104765,4.3574438,6.7875295,.89543509,5.6413727,7.9336863,6.4219213,1.2331095,4.8435411,8.0003014,3.6211987,.85314566,2.5291722,4.7132249
Australia,2017,AUS2017,AUS,36,900,2,8.3601046,.21168223,8.0891514,8.6310577,8.0832767,.2219573,7.7991714,8.367382,6.2898517,.44379526,5.7217937,6.8579097,5.9268203,.4517602,5.348567,6.5050735,10,0,10,10,6.9366026,.87030977,5.8226061,8.0505991,8.4097958,.65113336,7.576345,9.2432461,6.9727874,.6776945,6.1053386,7.8402362,,,,,7.2650952,.70923787,6.3572707,8.1729193,7.1736851,.86390239,6.0678902,8.27948
Australia,2018,AUS2018,AUS,36,900,2,8.4525719,.18356723,8.2176056,8.6875381,7.5767074,.24048682,7.2688842,7.8845305,6.2679358,.27447075,5.9166131,6.6192584,5.7588196,.26241702,5.4229259,6.0947132,10,0,10,10,6.111105,.30992693,5.7143984,6.5078115,7.7513509,.26611733,7.4107208,8.0919809,6.720253,.32209709,6.3079686,7.1325374,,,,,7.182004,.72896135,6.2489333,8.1150742,6.7764707,.67286873,5.9151988,7.6377425
Australia,2019,AUS2019,AUS,36,900,2,8.6249771,.2469607,8.3088675,8.9410868,6.6917758,.21826227,6.4124002,6.9711514,6.0955853,.21764106,5.8170047,6.374166,5.6277962,.17580442,5.4027667,5.8528256,10,0,10,10,5.9124508,.21127424,5.6420197,6.1828818,7.416738,.18064249,7.1855159,7.6479602,7.1311603,.27410552,6.7803054,7.4820151,,,,,6.7864223,.71878457,5.8663778,7.7064667,6.7829552,.65304887,5.9470525,7.6188579
Australia,2020,AUS2020,AUS,36,900,2,9.0491457,.19732845,8.7965651,9.3017263,7.2016401,.26977378,6.8563299,7.5469503,6.7142754,.25865182,6.3832011,7.0453496,5.7918239,.22561735,5.5030336,6.0806141,10,0,10,10,6.1993837,.24564214,5.8849616,6.5138059,7.2825537,.20099199,7.0252838,7.5398235,6.5474038,.30942762,6.1513367,6.943471,,,,,7.4058719,.71822524,6.4865437,8.3252001,6.6270881,.64783305,5.7978616,7.4563146
Australia,2021,AUS2021,AUS,36,900,2,8.7508907,.27709034,8.3962154,9.105566,7.9724593,.37916645,7.4871264,8.4577923,7.3260841,.29016837,6.9546685,7.6974998,6.0099897,.33697256,5.5786648,6.4413147,10,0,10,10,6.6714697,.33579087,6.2416573,7.1012821,6.9958119,.32498214,6.5798349,7.4117889,6.7128577,.39747453,6.2040901,7.2216253,,,,,7.6523585,.77066308,6.6659098,8.6388073,6.8246746,.70006394,5.9285927,7.7207565
