Country_Code,Country,High_Income_Country,Year,LMY_Education_Female_IAScore,LMY_Education_Female_GBScore,LMY_Education_Male_IAScore,LMY_Education_Male_GBScore,HiY_Education_Female_IAScore,HiY_Education_Female_GBScore,HiY_Education_Male_IAScore,HiY_Education_Male_GBScore,LMY_Food_Female_IAScore,LMY_Food_Female_GBScore,LMY_Food_Male_IAScore,LMY_Food_Male_GBScore,HiY_Food_Female_IAScore,HiY_Food_Female_GBScore,HiY_Food_Male_IAScore,HiY_Food_Male_GBScore,H_EducQual_Female_MRYear,H_EducQual_Female_MRGDP,H_EducQual_Female_IAFrontier,H_EducQual_Female_MRValue,H_EducQual_Female_IAPenalty,H_EducQual_Female_IAScore,H_EducQual_Female_GBPenalty,H_EducQual_Female_GBScore,H_EducQual_Male_MRYear,H_EducQual_Male_MRGDP,H_EducQual_Male_IAFrontier,H_EducQual_Male_MRValue,H_EducQual_Male_IAPenalty,H_EducQual_Male_IAScore,H_EducQual_Male_GBPenalty,H_EducQual_Male_GBScore,TotNetPrimEn_Female_MRYear,TotNetPrimEn_Female_MRGDP,TotNetPrimEn_Female_IAFrontier,TotNetPrimEn_Female_MRValue,TotNetPrimEn_Female_IAPenalty,TotNetPrimEn_Female_IAScore,TotNetPrimEn_Female_GBPenalty,TotNetPrimEn_Female_GBScore,TotNetPrimEn_Male_MRYear,TotNetPrimEn_Male_MRGDP,TotNetPrimEn_Male_IAFrontier,TotNetPrimEn_Male_MRValue,TotNetPrimEn_Male_IAPenalty,TotNetPrimEn_Male_IAScore,TotNetPrimEn_Male_GBPenalty,TotNetPrimEn_Male_GBScore,TotNetUpSecEn_Female_MRYear,TotNetUpSecEn_Female_MRGDP,TotNetUpSecEn_Female_IAFrontier,TotNetUpSecEn_Female_MRValue,TotNetUpSecEn_Female_IAPenalty,TotNetUpSecEn_Female_IAScore,TotNetUpSecEn_Female_GBPenalty,TotNetUpSecEn_Female_GBScore,TotNetUpSecEn_Male_MRYear,TotNetUpSecEn_Male_MRGDP,TotNetUpSecEn_Male_IAFrontier,TotNetUpSecEn_Male_MRValue,TotNetUpSecEn_Male_IAPenalty,TotNetUpSecEn_Male_IAScore,TotNetUpSecEn_Male_GBPenalty,TotNetUpSecEn_Male_GBScore,PISAmath_Female_MRYear,PISAmath_Female_MRGDP,PISAmath_Female_IAFrontier,PISAmath_Female_MRValue,PISAmath_Female_IAPenalty,PISAmath_Female_IAScore,PISAmath_Female_GBPenalty,PISAmath_Female_GBScore,PISAmath_Male_MRYear,PISAmath_Male_MRGDP,PISAmath_Male_IAFrontier,PISAmath_Male_MRValue,PISAmath_Male_IAPenalty,PISAmath_Male_IAScore,PISAmath_Male_GBPenalty,PISAmath_Male_GBScore,PISAreading_Female_MRYear,PISAreading_Female_MRGDP,PISAreading_Female_IAFrontier,PISAreading_Female_MRValue,PISAreading_Female_IAPenalty,PISAreading_Female_IAScore,PISAreading_Female_GBPenalty,PISAreading_Female_GBScore,PISAreading_Male_MRYear,PISAreading_Male_MRGDP,PISAreading_Male_IAFrontier,PISAreading_Male_MRValue,PISAreading_Male_IAPenalty,PISAreading_Male_IAScore,PISAreading_Male_GBPenalty,PISAreading_Male_GBScore,PISAscience_Female_MRYear,PISAscience_Female_MRGDP,PISAscience_Female_IAFrontier,PISAscience_Female_MRValue,PISAscience_Female_IAPenalty,PISAscience_Female_IAScore,PISAscience_Female_GBPenalty,PISAscience_Female_GBScore,PISAscience_Male_MRYear,PISAscience_Male_MRGDP,PISAscience_Male_IAFrontier,PISAscience_Male_MRValue,PISAscience_Male_IAPenalty,PISAscience_Male_IAScore,PISAscience_Male_GBPenalty,PISAscience_Male_GBScore,HiY_PISAAverage_Female_IAScore,HiY_PISAAverage_Female_GBScore,HiY_PISAAverage_Male_IAScore,HiY_PISAAverage_Male_GBScore,NotStunted_Female_MRYear,NotStunted_Female_MRGDP,NotStunted_Female_IAFrontier,NotStunted_Female_MRValue,NotStunted_Female_IAPenalty,NotStunted_Female_IAScore,NotStunted_Female_GBPenalty,NotStunted_Female_GBScore,NotStunted_Male_MRYear,NotStunted_Male_MRGDP,NotStunted_Male_IAFrontier,NotStunted_Male_MRValue,NotStunted_Male_IAPenalty,NotStunted_Male_IAScore,NotStunted_Male_GBPenalty,NotStunted_Male_GBScore,FoodSecure_Female_MRYear,FoodSecure_Female_MRGDP,FoodSecure_Female_IAFrontier,FoodSecure_Female_MRValue,FoodSecure_Female_IAPenalty,FoodSecure_Female_IAScore,FoodSecure_Female_GBPenalty,FoodSecure_Female_GBScore,FoodSecure_Male_MRYear,FoodSecure_Male_MRGDP,FoodSecure_Male_IAFrontier,FoodSecure_Male_MRValue,FoodSecure_Male_IAPenalty,FoodSecure_Male_IAScore,FoodSecure_Male_GBPenalty,FoodSecure_Male_GBScore,AdultSurvival_Female_MRYear,AdultSurvival_Female_MRGDP,AdultSurvival_Female_IAFrontier,AdultSurvival_Female_MRValue,AdultSurvival_Female_IAPenalty,AdultSurvival_Female_IAScore,AdultSurvival_Female_GBPenalty,AdultSurvival_Female_GBScore,AdultSurvival_Male_MRYear,AdultSurvival_Male_MRGDP,AdultSurvival_Male_IAFrontier,AdultSurvival_Male_MRValue,AdultSurvival_Male_IAPenalty,AdultSurvival_Male_IAScore,AdultSurvival_Male_GBPenalty,AdultSurvival_Male_GBScore,SeniorSurvival_Female_MRYear,SeniorSurvival_Female_MRGDP,SeniorSurvival_Female_IAFrontier,SeniorSurvival_Female_MRValue,SeniorSurvival_Female_IAPenalty,SeniorSurvival_Female_IAScore,SeniorSurvival_Female_GBPenalty,SeniorSurvival_Female_GBScore,SeniorSurvival_Male_MRYear,SeniorSurvival_Male_MRGDP,SeniorSurvival_Male_IAFrontier,SeniorSurvival_Male_MRValue,SeniorSurvival_Male_IAPenalty,SeniorSurvival_Male_IAScore,SeniorSurvival_Male_GBPenalty,SeniorSurvival_Male_GBScore,U5Survival_Female_MRYear,U5Survival_Female_MRGDP,U5Survival_Female_IAFrontier,U5Survival_Female_MRValue,U5Survival_Female_IAPenalty,U5Survival_Female_IAScore,U5Survival_Female_GBPenalty,U5Survival_Female_GBScore,U5Survival_Male_MRYear,U5Survival_Male_MRGDP,U5Survival_Male_IAFrontier,U5Survival_Male_MRValue,U5Survival_Male_IAPenalty,U5Survival_Male_IAScore,U5Survival_Male_GBPenalty,U5Survival_Male_GBScore,NotLTUnemploy_Female_MRYear,NotLTUnemploy_Female_MRGDP,NotLTUnemploy_Female_IAFrontier,NotLTUnemploy_Female_MRValue,NotLTUnemploy_Female_IAPenalty,NotLTUnemploy_Female_IAScore,NotLTUnemploy_Female_GBPenalty,NotLTUnemploy_Female_GBScore,NotLTUnemploy_Male_MRYear,NotLTUnemploy_Male_MRGDP,NotLTUnemploy_Male_IAFrontier,NotLTUnemploy_Male_MRValue,NotLTUnemploy_Male_IAPenalty,NotLTUnemploy_Male_IAScore,NotLTUnemploy_Male_GBPenalty,NotLTUnemploy_Male_GBScore
ABW,Aruba,1,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990,32278.86854,96.31843956,90.937442,3.254713625,89.50482548,3.60907925,88.30751008,1990,32278.86854,93.19451947,82.07597954,5.739674135,78.64319689,6.037549889,77.40131058,1990,32278.86854,79.69140193,57.05032689,0,69.68717355,0,65.88648974,1990,32278.86854,66.94769693,43.3164621,0,61.85292432,0,57.18874941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,1,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991,33744.1088,96.34803434,90.92743432,3.499933216,89.20922168,3.861130168,88.04211559,1991,33744.1088,93.22949513,82.16003481,6.136473667,78.32296929,6.442229768,77.11337413,1991,33744.1088,79.98294817,56.80067131,0,69.08326837,0,65.57047001,1991,33744.1088,67.28440602,43.24548132,0,61.40458545,0,57.08280793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,1,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,34544.06065,96.3631322,90.99445238,3.58660261,89.19385236,3.952037513,88.04056566,1992,34544.06065,93.24733805,82.24881277,6.325050111,78.23784644,6.635228256,77.04367837,1992,34544.06065,80.13311474,56.82644946,0,68.97950343,0,65.60310059,1992,34544.06065,67.45888512,43.18570798,0,61.13735125,0,56.993594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,1,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,35957.81597,96.38817196,91.06384332,3.762362659,89.08014375,4.133884031,87.9512404,1993,35957.81597,93.2769305,82.34884215,6.673573967,77.99455319,6.990038178,76.82779814,1993,35957.81597,80.38433331,56.85006133,0,68.78095097,0,65.63298903,1993,35957.81597,67.7523891,43.1599181,0,60.81030324,0,56.95510165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,1,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994,37683.91771,96.41619658,91.13439495,3.974918399,88.92743099,4.352574113,87.82661915,1994,37683.91771,93.3100505,82.45495806,7.088179209,77.68943297,7.410984702,76.55423483,1994,37683.91771,80.66875319,56.86852635,0,68.54682305,0,65.65636247,1994,37683.91771,68.08714174,43.16617679,0,60.49755265,0,56.96444296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,1,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,37470.17387,96.41286635,91.26974299,3.84800469,89.24039035,4.227104136,88.13255318,1995,37470.17387,93.30611478,82.54549839,6.979994508,77.92927109,7.30365207,76.78731791,1995,37470.17387,80.63477295,57.13016141,0,68.92353792,0,65.98754609,1995,37470.17387,68.04700983,43.16393846,0,60.53251148,0,56.96110218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,1,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996,36784.46079,96.40192137,91.34598231,3.695114162,89.50944431,4.073368777,88.38794097,1996,36784.46079,93.2931798,82.75998678,6.677588449,78.54793656,7.002656717,77.38621381,1996,36784.46079,80.52344184,57.17092875,0,69.07911965,0,66.03915031,1996,36784.46079,67.91578715,43.47318857,0,61.15029361,0,57.42266951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,1,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,38202.40775,96.42412007,91.33796402,3.905046746,89.26093756,4.28708599,88.16353271,1997,38202.40775,93.31941463,82.8446753,7.002801578,78.31011865,7.332833665,77.17365981,1997,38202.40775,80.74979984,56.89919023,0,68.51396352,0,65.69517751,1997,38202.40775,68.18301305,43.50505485,0,60.94209976,0,57.47023112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,1,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,37810.03482,96.41814388,91.38845875,3.812820267,89.42849849,4.194610269,88.32333473,1998,37810.03482,93.31235186,82.92964704,6.852109639,78.58841427,7.182508526,77.44200126,1998,37810.03482,80.68864551,56.87705977,0,68.54008209,0,65.66716426,1998,37810.03482,68.11065278,43.54762077,0,61.07942015,0,57.53376235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,1,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,37171.22043,100,98.28571,6.149161008,92.13654899,6.149161008,92.13654899,1999,37171.22043,100,98.67159,4.809119306,93.86247069,4.809119306,93.86247069,1999,37171.22043,100,86.79818,9.194715028,77.60346497,9.194715028,77.60346497,1999,37171.22043,100,85.16097,10.15934657,75.00162343,10.15934657,75.00162343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,37171.22043,96.40814426,91.49022908,3.650299936,89.74032251,4.031837805,88.62180096,1999,37171.22043,93.30053413,83.01300779,6.6388802,78.9327197,6.968879009,77.77140959,1999,37171.22043,80.58667535,57.08086889,0,68.90218236,0,65.92515049,1999,37171.22043,67.99026915,43.57801329,0,61.24440141,0,57.57912431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
